"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "TypeScript", "JSON with Comments", "CSS", "XML", "TypeScript JSX", "comment", "blank", "total"
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\highest-use-table\HighestUseTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 27
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\management-view\statistics-table-view\total-waybill-table\TotalWaybillTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 2, 26
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\nav-bar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 8, 107
"d:\KhoiDz\package-manager\package-manager-fe\src\components\custom\nav-bar\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 6, 58
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 5, 71
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 9, 77
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 13, 121
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 18, 204
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 7, 32
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 13, 163
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 11, 121
"d:\KhoiDz\package-manager\package-manager-fe\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 7, 54
"d:\KhoiDz\package-manager\package-manager-fe\src\hooks\useCallData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\KhoiDz\package-manager\package-manager-fe\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 21, 77
"d:\KhoiDz\package-manager\package-manager-fe\src\interface\chartInterface.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\KhoiDz\package-manager\package-manager-fe\src\interface\packageInterface.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"d:\KhoiDz\package-manager\package-manager-fe\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\KhoiDz\package-manager\package-manager-fe\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"d:\KhoiDz\package-manager\package-manager-fe\src\redux\slices\loadingSlice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 4, 20
"d:\KhoiDz\package-manager\package-manager-fe\src\redux\slices\packageSlice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 4, 33
"d:\KhoiDz\package-manager\package-manager-fe\src\redux\store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\KhoiDz\package-manager\package-manager-fe\src\routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 2, 39
"d:\KhoiDz\package-manager\package-manager-fe\src\services\StatsService.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 6, 66
"d:\KhoiDz\package-manager\package-manager-fe\src\services\TableService.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 8, 60
"d:\KhoiDz\package-manager\package-manager-fe\src\views\LayOut.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"d:\KhoiDz\package-manager\package-manager-fe\src\views\auth-view\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"d:\KhoiDz\package-manager\package-manager-fe\src\views\home-view\HomeView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"d:\KhoiDz\package-manager\package-manager-fe\src\views\management-view\ManagementView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 10, 98
"d:\KhoiDz\package-manager\package-manager-fe\src\views\management-view\statistics-table-view\StatisticsTableView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 31
"d:\KhoiDz\package-manager\package-manager-fe\src\views\management-view\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\KhoiDz\package-manager\package-manager-fe\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\KhoiDz\package-manager\package-manager-fe\tailwind.config.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 77
"d:\KhoiDz\package-manager\package-manager-fe\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 4, 31
"d:\KhoiDz\package-manager\package-manager-fe\tsconfig.node.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\KhoiDz\package-manager\package-manager-fe\vite.config.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 100, 13, 6029, 299, 483, 25, 81, 2, 2456, 6, 332, 9826
